;;;;;;;Theft at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Theft” means depriving a person or organisation of property without force with the intent to keep it . “Theft” excludes Burglary, housebreaking, Robbery, and Theft of a Motor Vehicle, which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;United Kingdom (England and Wales);2.250.787;1.824.996;1.804.831;1.752.433;1.607.601;1.592.758;1.474.291;1.478.601;1.481.675;1.361.329;1.326.648;1.268.173;;4.257,8;3.433,5;3.368,8;3.248,2;2.955,8;2.904,3;2.669,1;2.654,9;2.637,8;2.406,5;2.329,6;2.209,0
;;United Kingdom (Northern Ireland);30.831;27.783;25.851;25.085;22.866;24.380;25.672;23.579;24.480;23.824;25.168;24.806;;1.808,4;1.620,9;1.496,2;1.439,1;1.298,0;1.370,3;1.431,5;1.306,4;1.349,3;1.306,4;1.375,5;1.347,8
;;United Kingdom (Scotland);152.123;150.005;139.132;122.473;115.426;117.033;106.587;107.894;108.956;94.551;95.894;89.598;;3.001,3;2.950,4;2.722,6;2.385,9;2.232,6;2.249,4;2.037,3;2.050,4;2.055,8;1.779,4;1.799,9;1.675,5
;Southern Europe;Albania;;;2.986;2.919;2.980;3.198;3.073;3.978;4.621;5.344;5.255;7.961;;;;96,9;95,7;99,0;107,7;104,9;137,1;160,1;185,5;182,3;275,5
;;Andorra;;;;;1.062;977;1.004;1.117;1.063;1.007;1.001;936;;;;;;1.251,2;1.141,1;1.174,6;1.323,2;1.291,2;1.269,6;1.318,8;1.286,0
;;Bosnia and Herzegovina*;;;18.417;18.339;7.071;6.455;5.002;11.362;6.737;6.675;6.477;5.931;;;;480,4;477,8;184,1;168,1;130,3;296,3;175,8;174,4;169,4;155,4
;;Croatia*;29.976;30.695;30.398;29.629;28.701;13.373;12.267;13.604;15.707;17.256;17.686;12.043;;682,8;700,0;694,3;678,2;658,7;307,8;283,3;315,2;365,1;402,5;414,0;283,0
;;Greece;68.255;56.342;61.652;69.619;80.988;91.350;99.369;118.518;129.148;119.078;103.399;93.677;;618,8;510,0;556,9;627,3;727,6;818,4;888,9;1.060,3;1.158,0;1.071,8;935,3;851,5
;;Italy*;1.328.350;1.466.582;1.097.361;1.141.941;1.169.349;993.144;938.916;944.025;1.038.883;1.066.669;1.099.853;1.121.757;;2.290,2;2.513,5;1.870,8;1.938,2;1.977,3;1.674,2;1.578,9;1.584,3;1.740,8;1.785,6;1.840,1;1.876,2
;;Kosovo under UNSCR 1244;;;;;;15.003;13.382;15.234;17.141;16.292;16.962;15.607;;;;;;;831,2;737,3;834,3;933,1;881,6;912,4;834,2
;;Malta;11.004;11.466;9.612;8.657;8.982;8.127;6.843;7.769;8.520;8.690;8.469;8.198;;2.800,9;2.904,4;2.420,6;2.164,8;2.228,4;1.999,8;1.671,2;1.885,4;2.057,6;2.091,0;2.032,2;1.962,5
;;Montenegro;1.577;1.269;1.540;1.201;1.065;772;605;530;673;857;739;892;;256,7;206,2;249,8;194,5;172,2;124,6;97,4;85,2;108,0;137,4;118,3;142,7
;;Portugal;103.067;102.081;91.818;87.915;88.474;101.682;98.660;95.064;98.398;102.271;94.902;91.041;;990,8;977,6;876,1;836,0;838,6;961,3;931,6;898,1;931,9;972,6;907,3;875,2
;;Serbia*;;;16.765;16.588;16.947;15.780;14.538;15.912;17.529;17.900;31.680;26.736;;;;182,5;181,2;185,6;173,2;160,0;175,6;194,3;199,3;354,5;300,6
;;Slovenia;25.673;28.969;29.489;32.719;29.356;28.183;27.980;28.911;30.677;33.905;34.942;30.103;;1.291,2;1.455,1;1.477,0;1.631,4;1.455,1;1.387,9;1.369,7;1.408,6;1.489,9;1.643,6;1.692,3;1.457,0
;;Spain*;;;;;137.861;145.329;139.750;144.618;155.122;165.297;163.464;155.253;;;;;;304,9;317,2;301,9;310,3;332,1;354,4;351,9;335,6
;;The former Yugoslav Rep. of Macedonia;;;;4.669;5.530;6.046;5.137;4.896;5.065;5.663;5.530;4.983;;;;;228,1;269,6;294,2;249,5;237,4;245,2;273,7;266,8;240,1
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;191.663;177.025;180.143;174.366;164.959;161.394;150.728;144.326;146.520;148.861;144.073;;;2.338,3;2.149,7;2.178,4;2.100,5;1.980,0;1.930,2;1.796,1;1.713,4;1.732,8;1.754,0;1.691,6
;;Belgium;225.000;217.948;217.373;219.931;217.051;222.379;227.721;235.603;251.272;246.488;232.023;214.387;;2.158,0;2.077,2;2.058,2;2.068,6;2.027,6;2.063,0;2.098,0;2.155,6;2.283,2;2.224,7;2.080,3;1.909,7
;;France*;835.129;838.153;835.057;822.856;771.021;751.099;1.175.378;1.163.805;1.155.053;1.164.972;1.217.011;1.263.425;;1.381,2;1.377,2;1.363,5;1.335,6;1.244,3;1.205,4;1.876,4;1.848,4;1.825,6;1.832,8;1.906,2;1.970,4
