Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Brazil,2000,All genders,Not applicable,Number,347978
Brazil,2000,Female,Not applicable,Number,211490
Brazil,1999,Female,Not applicable,Number,195216
Brazil,1999,All genders,Not applicable,Number,320979
British Virgin Islands,2009,All genders,Not applicable,Number,145
British Virgin Islands,2009,Female,Not applicable,Number,93
British Virgin Islands,2002,Female,Not applicable,Number,65
British Virgin Islands,2002,All genders,Not applicable,Number,83
Brunei Darussalam,2014,All genders,Not applicable,Number,2965
Brunei Darussalam,2014,Female,Not applicable,Number,1844
Brunei Darussalam,2013,Female,Not applicable,Number,1226
Brunei Darussalam,2013,All genders,Not applicable,Number,1914
Brunei Darussalam,2012,All genders,Not applicable,Number,1939
Brunei Darussalam,2012,Female,Not applicable,Number,1266
Brunei Darussalam,2011,Female,Not applicable,Number,1164
Brunei Darussalam,2011,All genders,Not applicable,Number,1813
Brunei Darussalam,2010,All genders,Not applicable,Number,1675
Brunei Darussalam,2010,Female,Not applicable,Number,1044
Brunei Darussalam,2009,Female,Not applicable,Number,1139
Brunei Darussalam,2009,All genders,Not applicable,Number,1683
Brunei Darussalam,2008,All genders,Not applicable,Number,1544
Brunei Darussalam,2008,Female,Not applicable,Number,1027
Brunei Darussalam,2007,Female,Not applicable,Number,1063
Brunei Darussalam,2007,All genders,Not applicable,Number,1613
Brunei Darussalam,2006,All genders,Not applicable,Number,1721
Brunei Darussalam,2006,Female,Not applicable,Number,1146
Brunei Darussalam,2005,Female,Not applicable,Number,1109
Brunei Darussalam,2005,All genders,Not applicable,Number,1699
Brunei Darussalam,2004,All genders,Not applicable,Number,1388
Brunei Darussalam,2004,Female,Not applicable,Number,885
Brunei Darussalam,2003,Female,Not applicable,Number,994
Brunei Darussalam,2003,All genders,Not applicable,Number,1557
Brunei Darussalam,2001,All genders,Not applicable,Number,1077
Brunei Darussalam,2001,Female,Not applicable,Number,726
Brunei Darussalam,2000,Female,Not applicable,Number,723
Brunei Darussalam,2000,All genders,Not applicable,Number,1138
Brunei Darussalam,1999,All genders,Not applicable,Number,675
Brunei Darussalam,1999,Female,Not applicable,Number,450
Bulgaria,2014,Female,Not applicable,Number,38013
Bulgaria,2014,All genders,Not applicable,Number,63373
Bulgaria,2013,All genders,Not applicable,Number,66423
Bulgaria,2013,Female,Not applicable,Number,40317
Bulgaria,2012,Female,Not applicable,Number,38988
Bulgaria,2012,All genders,Not applicable,Number,64091
Bulgaria,2011,All genders,Not applicable,Number,64043
Bulgaria,2011,Female,Not applicable,Number,39128
Bulgaria,2010,Female,Not applicable,Number,36679
Bulgaria,2010,All genders,Not applicable,Number,60523
Bulgaria,2009,All genders,Not applicable,Number,57803
Bulgaria,2009,Female,Not applicable,Number,35031
Bulgaria,2008,Female,Not applicable,Number,33721
Bulgaria,2008,All genders,Not applicable,Number,54910
Bulgaria,2007,All genders,Not applicable,Number,45353
Bulgaria,2007,Female,Not applicable,Number,27245
Bulgaria,2005,Female,Not applicable,Number,27110
Bulgaria,2005,All genders,Not applicable,Number,46038
Bulgaria,2004,All genders,Not applicable,Number,45957
Bulgaria,2004,Female,Not applicable,Number,26810
Bulgaria,2003,Female,Not applicable,Number,27666
Bulgaria,2003,All genders,Not applicable,Number,47277
Bulgaria,2002,All genders,Not applicable,Number,50599
Bulgaria,2002,Female,Not applicable,Number,29204
Bulgaria,2001,Female,Not applicable,Number,29700
Bulgaria,2001,All genders,Not applicable,Number,47504
Bulgaria,2000,All genders,Not applicable,Number,46718
Bulgaria,2000,Female,Not applicable,Number,30107
Bulgaria,1999,Female,Not applicable,Number,29668
Bulgaria,1999,All genders,Not applicable,Number,44851
Burkina Faso,2013,Female,Not applicable,Number,5131
Burkina Faso,2013,All genders,Not applicable,Number,16151
Burkina Faso,2012,All genders,Not applicable,Number,12140
Burkina Faso,2012,Female,Not applicable,Number,3736
Burkina Faso,2011,Female,Not applicable,Number,4022
Burkina Faso,2011,All genders,Not applicable,Number,14782
Burkina Faso,2010,All genders,Not applicable,Number,9484
Burkina Faso,2009,All genders,Not applicable,Number,10174
Burkina Faso,2009,Female,Not applicable,Number,2067
Burundi,2013,Female,Not applicable,Number,2622
Burundi,2013,All genders,Not applicable,Number,8700
Burundi,2012,All genders,Not applicable,Number,7314
Burundi,2012,Female,Not applicable,Number,2247
Burundi,2011,Female,Not applicable,Number,1422
Burundi,2011,All genders,Not applicable,Number,5028
Burundi,2010,All genders,Not applicable,Number,2786
Burundi,2010,Female,Not applicable,Number,791
Burundi,2004,Female,Not applicable,Number,441
Burundi,2004,All genders,Not applicable,Number,1731
Burundi,2003,All genders,Not applicable,Number,1371
Burundi,2003,Female,Not applicable,Number,482
Burundi,2001,Female,Not applicable,Number,289
Burundi,2001,All genders,Not applicable,Number,762
Cambodia,2011,Female,Not applicable,Number,13355
